CL,CD,CM
0.8277,0.00996,-0.1185
0.9321,0.01076,-0.1156
1.0267,0.0121,-0.1108
1.091,0.0172,-0.103
1.1594,0.02282,-0.0951
1.2398,0.02961,-0.0892
1.3181,0.03915,-0.084
1.3462,0.05351,-0.0723
1.1501,0.06453,-0.0408
1.0301,0.08798,-0.0409
0.4901,0.00871,-0.1223
0.611,0.00839,-0.1225
0.7223,0.00849,-0.1207
0.8275,0.00902,-0.1177
0.9316,0.00991,-0.1151
1.026,0.01149,-0.1109
1.0954,0.01651,-0.1043
1.1662,0.02176,-0.0968
1.2442,0.0274,-0.0907
1.2616,0.02656,-0.0751
1.2688,0.04224,-0.0612
1.187,0.05768,-0.043
1.076,0.07971,-0.0389
0.4989,0.00755,-0.1229
0.6121,0.00747,-0.1217
0.7211,0.00776,-0.1196
0.8272,0.00842,-0.1173
0.9312,0.00936,-0.1149
1.0251,0.01118,-0.111
1.0996,0.01592,-0.1053
1.1786,0.02005,-0.0992
1.2507,0.026,-0.0919
1.3276,0.03253,-0.0863
-0.0004,0.00834,-0.0025
0.1667,0.00832,-0.0129
0.2507,0.00845,-0.0039
0.3447,0.00951,0.0024
0.4535,0.01259,0.0017
0.5634,0.01524,0.0016
0.6716,0.0183,0.0021
0.7777,0.02276,0.003
0.8779,0.02911,0.004
0.8969,0.05593,0.0057
0.6694,0.09454,-0.0071
0.644,0.11527,-0.0155
0.7752,0.14272,-0.0422
0.044,0.00737,-0.0107
0.1474,0.00752,-0.0073
0.2403,0.0076,-0.0008
0.3419,0.00923,0.0025
0.4535,0.01172,0.0015
0.5647,0.01396,0.0012
0.6736,0.01661,0.0014
0.7802,0.02023,0.0022
0.8822,0.02549,0.0032
0.9686,0.03436,0.0048
0.9741,0.05497,0.0071
0.7675,0.1237,-0.0368
0.7663,0.14327,-0.0461
0.0478,0.00682,-0.0105
0.1339,0.00691,-0.0034
0.2344,0.00704,0.0009
0.3406,0.009,0.0024
0.4535,0.01108,0.0013
0.5656,0.01307,0.0009
0.6758,0.01533,0.0009
0.7826,0.01854,0.0015
0.8857,0.0228,0.0024
0.9788,0.02958,0.0039
0.9909,0.05022,0.0069
0.6276,0.12931,-0.0236
0.2093,0.00772,-0.0397
0.337,0.0077,-0.0408
0.4356,0.00824,-0.0359
0.5372,0.00921,-0.0327
0.6394,0.01059,-0.0305
0.7416,0.01235,-0.029
0.8418,0.01469,-0.0275
0.9377,0.01813,-0.0253
1.0279,0.02307,-0.0222
1.1051,0.03101,-0.0182
1.1414,0.04346,-0.0125
1.0913,0.06083,-0.0105
0.2243,0.00674,-0.0417
0.3306,0.00691,-0.0383
0.4318,0.00757,-0.0347
0.5353,0.00855,-0.0323
0.6391,0.00988,-0.0306
0.7427,0.01151,-0.0294
0.8446,0.01361,-0.0282
0.942,0.01669,-0.0262
1.0312,0.02149,-0.0233
1.1155,0.02667,-0.0199
1.1644,0.03739,-0.0145
1.1256,0.05408,-0.0091
1.0494,0.08303,-0.029
0.2255,0.00609,-0.0411
0.3262,0.00641,-0.0368
0.4294,0.00711,-0.034
0.5342,0.00809,-0.0321
0.6391,0.00938,-0.0308
0.7438,0.01089,-0.0298
0.8466,0.01286,-0.0287
0.9447,0.01577,-0.0269
1.0389,0.01933,-0.0245
1.1197,0.02538,-0.0207
1.1781,0.03415,-0.0156
1.1846,0.04467,-0.0099
1.1259,0.06684,-0.0208
0.1426,0.00754,-0.0309
0.3172,0.00755,-0.0435
0.4264,0.00786,-0.0399
0.5253,0.00917,-0.0356
0.6283,0.01082,-0.0336
0.7322,0.01264,-0.0322
0.8324,0.01558,-0.0307
0.9242,0.02151,-0.0271
1.0044,0.03314,-0.0227
1.0438,0.04857,-0.0179
0.1665,0.00673,-0.0356
0.3222,0.00664,-0.0434
0.4216,0.00727,-0.0383
0.5236,0.0086,-0.0353
0.6285,0.01009,-0.0339
0.7338,0.01174,-0.0327
0.8352,0.01449,-0.0314
0.926,0.02045,-0.028
1.0148,0.02822,-0.0239
1.0163,0.03112,-0.0141
0.9345,0.05302,-0.0094
0.8027,0.09554,-0.0335
0.1879,0.00606,-0.0397
0.3189,0.00607,-0.0418
0.4187,0.00689,-0.0374
0.5228,0.00818,-0.0353
0.629,0.00956,-0.0341
0.735,0.01113,-0.0332
0.8374,0.01367,-0.032
0.9319,0.01856,-0.0289
1.0158,0.02693,-0.0248
1.0689,0.04086,-0.0196
0.147,0.0071,-0.0282
0.2956,0.00731,-0.036
0.4095,0.00775,-0.0333
0.5087,0.00921,-0.0292
0.6135,0.01097,-0.0277
0.7193,0.01279,-0.0267
0.8208,0.01623,-0.0254
0.9153,0.0228,-0.0222
0.9989,0.03437,-0.0182
0.1487,0.00639,-0.0284
0.3057,0.00646,-0.0371
0.4044,0.00721,-0.0317
0.5074,0.00866,-0.0291
0.6139,0.01022,-0.028
0.7207,0.01187,-0.0272
0.8234,0.01503,-0.0261
0.9162,0.02183,-0.023
0.9997,0.03291,-0.0191
1.0062,0.05822,-0.0171
0.1554,0.00585,-0.0297
0.3029,0.00594,-0.0357
0.4014,0.00687,-0.0309
0.5068,0.00825,-0.0291
0.6145,0.00967,-0.0283
0.7219,0.01121,-0.0276
0.8252,0.01423,-0.0265
0.9212,0.0198,-0.0237
1.0073,0.02977,-0.0197
1.0392,0.04884,-0.0164
0.1387,0.00705,-0.026
0.2451,0.00733,-0.025
0.3896,0.00787,-0.0287
0.4902,0.00988,-0.0253
0.5981,0.01151,-0.0244
0.7055,0.01343,-0.0237
0.8085,0.01727,-0.0224
0.9075,0.0232,-0.0199
0.9949,0.03374,-0.0168
0.9956,0.06082,-0.0171
0.7749,0.09269,-0.0332
0.1401,0.00634,-0.0262
0.273,0.00649,-0.0304
0.3843,0.00752,-0.0272
0.4898,0.00927,-0.0255
0.5989,0.01069,-0.0248
0.7072,0.01244,-0.0243
0.9098,0.02143,-0.0209
0.9997,0.03088,-0.0176
1.0251,0.05245,-0.0159
0.7993,0.08567,-0.0313
0.1413,0.00581,-0.0263
0.2851,0.00591,-0.0324
0.3818,0.00729,-0.0267
0.4899,0.0088,-0.0257
0.5997,0.0101,-0.0252
0.7085,0.01174,-0.0247
0.8143,0.01467,-0.0237
0.9144,0.01935,-0.0217
1.005,0.02763,-0.0187
1.0528,0.04454,-0.0156
0.7672,0.10654,-0.0386
0.7067,0.13787,-0.0502
0.1916,0.00734,-0.0434
0.3474,0.00738,-0.0507
0.4474,0.00814,-0.0457
0.5511,0.00931,-0.0429
0.6563,0.01072,-0.0412
0.7608,0.01259,-0.0399
0.862,0.01552,-0.0385
0.9573,0.02027,-0.0359
1.0413,0.02915,-0.0319
1.0868,0.04567,-0.0269
0.9608,0.05498,-0.018
0.8614,0.08713,-0.0362
0.7571,0.13022,-0.0539
0.2161,0.00647,-0.0478
0.3424,0.00666,-0.0485
0.4445,0.00754,-0.0448
0.5503,0.00866,-0.0428
0.6569,0.00999,-0.0415
0.7625,0.01175,-0.0405
0.8652,0.01436,-0.0393
0.9614,0.01875,-0.037
1.0495,0.02559,-0.0333
1.1065,0.03966,-0.0284
1.0564,0.06348,-0.0272
0.9581,0.10926,-0.0622
0.2279,0.00584,-0.0497
0.3383,0.00623,-0.0471
0.4429,0.00713,-0.0443
0.5501,0.0082,-0.0429
0.6576,0.00948,-0.0419
0.764,0.01114,-0.041
0.8677,0.01353,-0.0399
0.9665,0.01725,-0.0379
1.0489,0.02558,-0.0338
1.1067,0.03911,-0.0287
1.0834,0.05748,-0.026
0.8313,0.1089,-0.0472
0.1881,0.00735,-0.0422
0.4605,0.00801,-0.0482
0.5628,0.00923,-0.045
0.667,0.01076,-0.0431
0.7706,0.0128,-0.0418
0.8718,0.01571,-0.0402
0.9673,0.02033,-0.0377
1.0516,0.02926,-0.0336
1.0937,0.04656,-0.0284
1.0396,0.06874,-0.0313
0.9631,0.10806,-0.0616
0.2182,0.0065,-0.048
0.3566,0.00657,-0.0515
0.4571,0.00744,-0.0471
0.5619,0.00861,-0.0449
0.6676,0.01005,-0.0435
0.7726,0.01192,-0.0424
0.8752,0.0145,-0.0411
0.9716,0.01876,-0.0388
1.0597,0.0256,-0.035
1.111,0.04115,-0.0298
1.0934,0.059,-0.0268
0.8939,0.08256,-0.0368
0.7823,0.12566,-0.0542
0.2334,0.00586,-0.0506
0.3524,0.00611,-0.0499
0.4553,0.00704,-0.0466
0.5615,0.00817,-0.0449
0.6682,0.00955,-0.0438
0.7741,0.0113,-0.0429
0.8775,0.01369,-0.0417
0.9767,0.01725,-0.0396
1.0597,0.02544,-0.0355
1.1173,0.03907,-0.0303
1.1057,0.05596,-0.0273
0.9062,0.07794,-0.035
0.197,0.00724,-0.0427
0.3641,0.00733,-0.0536
0.4705,0.00791,-0.0494
0.5715,0.00928,-0.0458
0.6756,0.01088,-0.044
0.7794,0.01292,-0.0427
0.8808,0.01583,-0.0411
0.9772,0.02027,-0.0387
1.062,0.02913,-0.0346
1.1017,0.04726,-0.0295
1.0422,0.07101,-0.0349
0.9683,0.11185,-0.065
0.7721,0.13231,-0.0574
0.2133,0.00649,-0.0458
0.3673,0.00649,-0.053
0.4669,0.00737,-0.0482
0.5707,0.00869,-0.0457
0.6763,0.01017,-0.0444
0.7814,0.01203,-0.0434
0.8842,0.01459,-0.042
0.9814,0.01866,-0.0398
1.069,0.02567,-0.036
1.1088,0.04423,-0.0306
0.2329,0.00586,-0.0496
0.3639,0.006,-0.0515
0.4649,0.00701,-0.0476
0.5704,0.00827,-0.0458
0.6772,0.00965,-0.0448
0.783,0.01139,-0.0439
0.8866,0.01375,-0.0426
0.9864,0.01714,-0.0407
1.0709,0.02504,-0.0365
1.135,0.03698,-0.0317
1.0492,0.04306,-0.0194
0.9151,0.07957,-0.038
0.9376,0.14279,-0.0802
0.2379,0.0076,-0.0554
0.3591,0.00767,-0.0549
0.4611,0.0083,-0.0508
0.5659,0.00928,-0.0482
0.6711,0.01058,-0.0463
0.775,0.01235,-0.0448
0.8762,0.0149,-0.0435
0.9669,0.02011,-0.0406
1.0489,0.02849,-0.0363
1.1068,0.04192,-0.0306
1.0763,0.061,-0.026
0.2476,0.00664,-0.0562
0.3537,0.00691,-0.0528
0.4583,0.00764,-0.0498
0.5651,0.0086,-0.048
0.6715,0.00985,-0.0466
0.7768,0.01153,-0.0455
0.8792,0.01393,-0.0443
0.9745,0.01807,-0.042
1.0585,0.02509,-0.0377
1.1249,0.03633,-0.0324
0.2467,0.00601,-0.0551
0.3504,0.00643,-0.0516
0.4569,0.00718,-0.0494
0.5648,0.00812,-0.048
0.6721,0.00934,-0.0469
0.7783,0.01096,-0.046
0.8817,0.01321,-0.045
0.978,0.01718,-0.0427
1.0616,0.02386,-0.0387
1.1207,0.03693,-0.0328
1.1284,0.05121,-0.0273
1.0499,0.07536,-0.0389
0.2389,0.00759,-0.0547
0.373,0.00758,-0.0571
0.4736,0.00814,-0.0524
0.5767,0.00916,-0.0492
0.6804,0.01063,-0.0471
0.7836,0.01259,-0.0456
0.8844,0.01529,-0.0442
0.9768,0.02025,-0.0414
1.0615,0.02805,-0.0373
1.1156,0.04279,-0.0314
1.0755,0.06306,-0.028
0.9953,0.09596,-0.0538
0.255,0.00662,-0.057
0.3674,0.00679,-0.0548
0.4705,0.00748,-0.0512
0.5755,0.00852,-0.0489
0.6807,0.00996,-0.0474
0.7856,0.01174,-0.0463
0.8878,0.01422,-0.045
0.9846,0.01803,-0.0428
1.0701,0.02482,-0.0387
1.1276,0.03863,-0.0331
0.2589,0.00596,-0.057
0.3636,0.0063,-0.0534
0.4686,0.00704,-0.0507
0.5751,0.00808,-0.0489
0.6814,0.00946,-0.0477
0.7871,0.01116,-0.0468
0.8905,0.0134,-0.0457
0.9879,0.01711,-0.0436
1.0696,0.02483,-0.0392
1.1386,0.03517,-0.0341
1.1518,0.04948,-0.0288
1.0687,0.07567,-0.0418
0.3013,0.00853,-0.0682
0.4086,0.00855,-0.0658
0.516,0.00885,-0.0636
0.6235,0.00949,-0.0618
0.7297,0.0105,-0.0602
0.8338,0.01186,-0.0586
0.9344,0.01365,-0.0569
1.029,0.01629,-0.0549
1.1055,0.02172,-0.0505
1.168,0.02939,-0.0441
1.2268,0.03902,-0.0376
1.2142,0.0532,-0.0275
1.1385,0.07323,-0.0289
0.2955,0.0074,-0.0654
0.405,0.00757,-0.0641
0.5144,0.00798,-0.0627
0.623,0.00868,-0.0615
0.7303,0.0097,-0.0603
0.8355,0.01102,-0.0592
0.9376,0.01277,-0.0578
1.034,0.01533,-0.0561
1.1134,0.02045,-0.0521
1.1819,0.02649,-0.0463
1.2298,0.0376,-0.0389
1.2317,0.04883,-0.0294
1.1814,0.06466,-0.0277
0.2914,0.00669,-0.0638
0.403,0.00693,-0.0632
0.5136,0.0074,-0.0623
0.6231,0.00814,-0.0614
0.731,0.00917,-0.0606
0.8373,0.01044,-0.0597
0.9405,0.01213,-0.0586
1.0378,0.01467,-0.0571
1.1213,0.01925,-0.0535
1.1858,0.02589,-0.0472
1.2439,0.03386,-0.0405
1.2625,0.04292,-0.0322
1.2199,0.05824,-0.0271
0.3255,0.00794,-0.0729
0.4334,0.00802,-0.0696
0.5369,0.00846,-0.066
0.6416,0.00923,-0.0632
0.7451,0.01043,-0.0608
0.8468,0.01224,-0.0589
0.9459,0.01469,-0.0571
1.04,0.01814,-0.0548
1.1257,0.02315,-0.0511
1.1923,0.03319,-0.0454
1.2264,0.04628,-0.0379
1.1826,0.06126,-0.0319
1.0894,0.09269,-0.0516
0.3243,0.0069,-0.0711
0.4284,0.00715,-0.0675
0.5343,0.00769,-0.0649
0.6404,0.00851,-0.0627
0.7453,0.00973,-0.061
0.8485,0.01146,-0.0595
0.9494,0.01372,-0.0581
1.0462,0.01672,-0.0561
1.1318,0.02166,-0.0525
1.2051,0.02922,-0.047
1.2415,0.04159,-0.0401
1.208,0.05596,-0.0323
1.1342,0.08101,-0.045
0.3199,0.00625,-0.0692
0.4254,0.0066,-0.0663
0.5329,0.00717,-0.0643
0.6399,0.00802,-0.0626
0.7457,0.00926,-0.0612
0.85,0.01093,-0.06
0.9522,0.01302,-0.0588
1.0508,0.01571,-0.057
1.1413,0.01973,-0.054
1.2113,0.02726,-0.0484
1.1958,0.02677,-0.0339
1.1482,0.04058,-0.0235
1.0578,0.06499,-0.0279
0.3233,0.00786,-0.0718
0.4392,0.00787,-0.07
0.5402,0.00831,-0.0655
0.6435,0.00915,-0.0622
0.7464,0.01045,-0.0597
0.8465,0.01258,-0.0576
0.9446,0.01549,-0.0557
1.0406,0.01877,-0.0534
1.1304,0.02318,-0.0502
1.2045,0.03139,-0.0451
1.2357,0.04601,-0.0382
1.1149,0.08923,-0.0495
0.3291,0.00681,-0.0715
0.4333,0.00702,-0.0675
0.537,0.00758,-0.0641
0.6422,0.00847,-0.0617
0.7463,0.0098,-0.0598
0.8482,0.01183,-0.0583
0.9485,0.01436,-0.0567
1.0469,0.01712,-0.0547
1.1376,0.02119,-0.0517
1.2085,0.02958,-0.0463
1.2649,0.03828,-0.0406
1.2413,0.05284,-0.0325
1.1747,0.07563,-0.0428
0.3264,0.00614,-0.0699
0.4296,0.00647,-0.0661
0.5352,0.00709,-0.0635
0.6415,0.00801,-0.0616
0.7466,0.00935,-0.06
0.8498,0.01126,-0.0588
0.9513,0.01357,-0.0574
1.0511,0.01607,-0.0555
1.1448,0.01953,-0.0529
1.2201,0.02655,-0.0478
1.2683,0.037,-0.0415
1.2472,0.05112,-0.0331
1.1761,0.07543,-0.0448
0.2438,0.00843,-0.0542
0.3609,0.00828,-0.0535
0.4622,0.00862,-0.0496
0.5621,0.00928,-0.046
0.6608,0.01027,-0.0426
0.7567,0.01172,-0.0393
0.8491,0.01399,-0.0363
0.9352,0.01758,-0.0326
1.0138,0.02276,-0.0278
1.0903,0.02969,-0.0226
1.1333,0.04128,-0.0153
1.0935,0.05664,-0.006
1.0114,0.08045,-0.0168
0.254,0.00725,-0.0549
0.3589,0.00735,-0.0519
0.4597,0.0078,-0.0485
0.5602,0.0085,-0.0454
0.6596,0.00951,-0.0424
0.7569,0.01098,-0.0397
0.8514,0.01314,-0.037
0.9409,0.01633,-0.0339
1.0235,0.02054,-0.0295
1.095,0.02733,-0.0239
1.1498,0.03649,-0.0176
1.1315,0.04974,-0.0076
1.0661,0.06869,-0.0113
0.2549,0.00652,-0.0542
0.3569,0.00675,-0.051
0.458,0.00725,-0.0479
0.5589,0.00798,-0.0451
0.6591,0.009,-0.0424
0.7576,0.01044,-0.04
0.8536,0.01252,-0.0377
0.9449,0.01547,-0.0348
1.0292,0.01941,-0.0306
1.1059,0.02436,-0.0257
1.1583,0.0339,-0.0186
1.1808,0.04181,-0.0108
1.1255,0.05819,-0.0075
0.2407,0.00823,-0.0528
0.357,0.00815,-0.0517
0.4582,0.00857,-0.0479
0.559,0.0093,-0.0445
0.6589,0.01031,-0.0414
0.7566,0.01177,-0.0386
0.8507,0.01401,-0.0358
0.9383,0.01764,-0.0325
1.0192,0.02274,-0.0278
1.0912,0.03104,-0.0227
1.1335,0.04259,-0.0153
1.0836,0.05909,-0.0073
0.9961,0.0866,-0.0239
0.2493,0.0071,-0.0531
0.3537,0.00728,-0.05
0.4554,0.00778,-0.0468
0.5571,0.00853,-0.0439
0.658,0.00955,-0.0413
0.7571,0.011,-0.0389
0.8533,0.01312,-0.0366
0.944,0.01634,-0.0337
1.0252,0.02109,-0.0293
1.1011,0.02709,-0.0242
1.1415,0.03966,-0.0169
1.13,0.05076,-0.0082
1.057,0.07255,-0.0161
0.2488,0.00641,-0.0522
0.3513,0.00671,-0.049
0.4535,0.00725,-0.0462
0.5559,0.00801,-0.0437
0.6576,0.00904,-0.0414
0.7578,0.01046,-0.0393
0.8553,0.0125,-0.0372
0.9483,0.01541,-0.0346
1.0345,0.01927,-0.0308
1.1037,0.02605,-0.0251
1.1648,0.03373,-0.0191
1.0895,0.03313,-0.0025
1.014,0.0522,-0.0014
0.1422,0.01422,-0.0504
0.2891,0.01416,-0.0576
0.4538,0.01293,-0.0665
0.7622,0.00979,-0.077
0.8072,0.01308,-0.0633
0.8727,0.01666,-0.0554
0.9522,0.02022,-0.0498
1.0495,0.0259,-0.0479
1.1374,0.03156,-0.0442
1.1823,0.04171,-0.0347
0.1932,0.01251,-0.059
0.3385,0.01196,-0.0654
0.5119,0.01019,-0.0759
0.6507,0.00874,-0.0789
0.7612,0.00936,-0.0765
0.8073,0.0126,-0.0638
0.881,0.01561,-0.0573
0.9595,0.01877,-0.0514
1.0459,0.02266,-0.0473
1.1367,0.0286,-0.0443
1.1992,0.03649,-0.0379
1.2187,0.04359,-0.0255
0.2483,0.0111,-0.0688
0.5462,0.00853,-0.0816
0.6776,0.00768,-0.0837
0.7537,0.00918,-0.075
0.8092,0.01222,-0.0646
0.8882,0.01483,-0.0589
0.9685,0.01751,-0.0533
1.0491,0.02174,-0.0483
1.1346,0.02543,-0.0441
1.2071,0.03194,-0.0387
1.2348,0.03928,-0.0278
1.2077,0.04916,-0.013
0.0518,0.01111,-0.0271
0.2155,0.01195,-0.0388
0.3987,0.01138,-0.0524
0.5739,0.00912,-0.0613
0.6713,0.01139,-0.0559
0.7425,0.01583,-0.0488
0.8348,0.02073,-0.0448
0.9295,0.02924,-0.0412
0.9807,0.04279,-0.0311
0.1087,0.01041,-0.0382
0.2686,0.01049,-0.0483
0.4561,0.0091,-0.0621
0.6039,0.0077,-0.0663
0.6687,0.01119,-0.056
0.7484,0.01484,-0.0503
0.8376,0.01952,-0.046
0.9352,0.02575,-0.0425
0.9562,0.02806,-0.0304
0.9272,0.04874,-0.0172
0.1469,0.00953,-0.0454
0.3147,0.00915,-0.0567
0.4807,0.00768,-0.066
0.6159,0.00715,-0.0681
0.6688,0.01095,-0.0565
0.7522,0.01421,-0.0514
0.8423,0.01794,-0.047
0.9353,0.02573,-0.0436
1.0111,0.03241,-0.0371
1.0144,0.04842,-0.0247
0.9607,0.0652,-0.0123
0.353,0.01999,-0.0813
0.516,0.02046,-0.0934
0.6559,0.02079,-0.1013
0.6884,0.0217,-0.0888
0.7756,0.02176,-0.0853
0.8965,0.02068,-0.0865
1.0285,0.01709,-0.0874
1.1481,0.01429,-0.0862
1.1828,0.01618,-0.0724
1.1158,0.02548,-0.0527
1.1168,0.03319,-0.0438
1.1291,0.04124,-0.0366
1.1831,0.04858,-0.0309
0.3262,0.01727,-0.074
0.4535,0.01745,-0.0777
0.5993,0.01757,-0.0862
0.7478,0.01744,-0.0952
0.8356,0.01707,-0.0917
0.9486,0.0149,-0.0909
1.0614,0.01301,-0.0904
1.1628,0.01236,-0.0878
1.1617,0.01613,-0.0694
1.1189,0.02482,-0.0536
1.1302,0.03172,-0.0453
1.1412,0.03967,-0.0378
1.1793,0.04731,-0.032
0.3666,0.01536,-0.0812
0.4561,0.01517,-0.0765
0.5733,0.01494,-0.0784
0.7141,0.01464,-0.0855
0.861,0.01405,-0.0937
0.9691,0.01232,-0.093
1.0762,0.011,-0.0919
1.1654,0.01151,-0.0879
1.143,0.01645,-0.0672
1.1259,0.02405,-0.0546
1.1414,0.03055,-0.0466
1.1462,0.03886,-0.0384
1.1817,0.04557,-0.0337
0.5132,0.02013,-0.1037
0.6178,0.02018,-0.1048
0.6984,0.0199,-0.0995
0.8602,0.01848,-0.088
0.9454,0.01707,-0.0822
1.0369,0.01515,-0.0768
1.1092,0.01429,-0.0683
1.1676,0.01505,-0.0585
1.1627,0.01823,-0.041
1.1314,0.02584,-0.0274
1.0802,0.03744,-0.0154
1.0803,0.04694,-0.0099
0.4207,0.01795,-0.0827
0.5733,0.01743,-0.092
0.7076,0.01667,-0.0978
0.8135,0.01574,-0.0974
0.9081,0.01437,-0.0939
0.9955,0.01328,-0.089
1.0779,0.01228,-0.0827
1.1322,0.01261,-0.0717
1.1609,0.01397,-0.0569
1.1483,0.01809,-0.0397
1.1167,0.02629,-0.0267
1.0913,0.03611,-0.0165
1.1,0.0447,-0.0114
0.3082,0.01541,-0.0589
0.5205,0.01528,-0.0792
0.6589,0.01447,-0.0855
0.7934,0.01342,-0.0909
0.9257,0.01214,-0.0956
1.0174,0.01128,-0.092
1.0936,0.01099,-0.0851
1.1429,0.01173,-0.0735
1.1514,0.01343,-0.0552
1.1351,0.01832,-0.0388
1.104,0.02683,-0.026
1.102,0.03499,-0.0176
0.5194,0.02793,-0.1016
0.5329,0.02923,-0.0864
0.7722,0.03008,-0.0715
1.1252,0.02128,-0.0677
1.2167,0.01984,-0.0629
1.1608,0.0298,-0.0475
1.1102,0.04228,-0.0367
1.1197,0.05134,-0.0315
0.2786,0.02189,-0.0678
0.5405,0.02197,-0.0972
0.7321,0.0233,-0.0964
0.8356,0.02198,-0.0939
0.9095,0.02131,-0.0871
1.0026,0.02066,-0.0838
1.1122,0.01835,-0.082
1.2078,0.01511,-0.0762
1.2174,0.01923,-0.0633
1.1459,0.03127,-0.0484
1.1273,0.04158,-0.0399
1.1445,0.04996,-0.0352
0.2969,0.01787,-0.0668
0.5035,0.01776,-0.085
0.6561,0.01839,-0.0956
0.9152,0.01747,-0.105
0.988,0.01704,-0.0982
1.07,0.01613,-0.0926
1.1717,0.01312,-0.0888
1.2337,0.0133,-0.0796
1.2066,0.01999,-0.0636
1.1388,0.03222,-0.0494
1.1418,0.04095,-0.0424
1.1618,0.04903,-0.0378
0.3102,0.02234,-0.0826
0.6363,0.02235,-0.107
0.6198,0.02372,-0.0857
1.0148,0.01732,-0.094
1.1397,0.0143,-0.0935
1.1237,0.01921,-0.0747
1.0777,0.02972,-0.0585
1.0953,0.03776,-0.0502
1.1796,0.0438,-0.0467
1.2646,0.05696,-0.0444
0.3019,0.01819,-0.0772
0.4469,0.01769,-0.0842
0.5806,0.01802,-0.0909
0.8835,0.01624,-0.1086
0.9597,0.01481,-0.1015
1.066,0.01267,-0.0995
1.1453,0.0128,-0.0933
1.1069,0.01968,-0.0733
1.0877,0.02881,-0.0602
1.1158,0.03572,-0.053
1.1769,0.04249,-0.0481
1.2647,0.05197,-0.0454
0.4061,0.01501,-0.0962
0.4974,0.01488,-0.0927
0.5967,0.01482,-0.0913
0.7123,0.0145,-0.0932
0.8584,0.01294,-0.0999
0.9935,0.01159,-0.1051
1.0854,0.01083,-0.1016
1.1338,0.0124,-0.0911
1.0965,0.02005,-0.0726
1.0935,0.02829,-0.0613
1.1241,0.03496,-0.0544
1.174,0.04104,-0.0497
1.2653,0.05147,-0.0467
0.508,0.02586,-0.1031
0.5672,0.02653,-0.0954
0.6535,0.02615,-0.0906
0.7266,0.02595,-0.084
0.8257,0.02424,-0.0802
0.9267,0.02183,-0.0762
1.0419,0.01774,-0.0731
1.1217,0.01558,-0.0636
1.0794,0.0192,-0.0382
1.0016,0.02506,-0.0116
0.9586,0.03213,0.0068
0.957,0.03847,0.018
0.9987,0.04342,0.025
0.5289,0.02249,-0.1028
0.609,0.02227,-0.0977
0.6852,0.02225,-0.0927
0.7746,0.02125,-0.0883
0.872,0.01947,-0.0845
0.9776,0.01668,-0.0813
1.0803,0.01371,-0.0772
1.1204,0.015,-0.0634
1.0644,0.01907,-0.0366
0.9865,0.02544,-0.0105
0.967,0.03111,0.0055
0.9723,0.03669,0.0163
1.0003,0.04227,0.024
0.4794,0.02084,-0.09
0.6203,0.01982,-0.0978
0.7075,0.0191,-0.0937
0.8,0.01793,-0.09
0.8985,0.01612,-0.0867
1.0033,0.0138,-0.0841
1.0956,0.01196,-0.0787
1.1151,0.0149,-0.0629
0.9793,0.03009,0.0038
0.9818,0.03559,0.0153
1.0038,0.04141,0.0231
0.4326,0.02429,-0.092
0.516,0.02448,-0.0872
0.6063,0.02417,-0.0828
